,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
5264,-1.7924957,8.796829,3.4613647,2017-06-03 16:14:32.466000,1496517272466,-0.0077819824,-0.0038604736,-0.0014190674,-140.790355409,-13.292503,15.562439,-2.8900146,10.6782152227,68.3027730401
5265,-1.7611542,8.753326,3.4857178,2017-06-03 16:14:32.517000,1496517272517,-0.0035247803,-0.0070648193,-0.0024871826,-140.792035197,-13.292503,15.038681,-3.0633926,10.6786312268,68.3014163506
5266,-1.8157196,8.827026,3.5240173,2017-06-03 16:14:32.569000,1496517272569,0.0039367676,-0.0027923584,0.0007019043,-140.79428742,-12.952995,15.038681,-2.8030396,10.6812348074,68.2991511959
5267,-1.8159332,8.849091,3.4638672,2017-06-03 16:14:32.621000,1496517272621,-0.0131073,3.9672852E-4,-0.0024871826,-140.570323969,-12.528229,15.475082,-2.9764175,10.6259687256,68.615121075
5268,-1.7420044,8.776627,3.5007172,2017-06-03 16:14:32.672000,1496517272672,-0.022705078,0.01637268,-0.0056915283,-140.570323969,-12.697983,15.387726,-2.6294708,10.6259687256,68.615121075
5269,-1.8730927,8.751816,3.5991364,2017-06-03 16:14:32.724000,1496517272724,-0.014175415,0.03555298,0.017745972,-140.570323969,-12.952614,15.213203,-2.8896332,10.6259687256,68.615121075
5270,-1.8569183,8.757507,3.5389862,2017-06-03 16:14:32.776000,1496517272776,-0.008850098,0.008926392,0.012420654,-140.598935588,-13.122559,15.213203,-2.5428772,10.6617087953,68.5697313887
5271,-1.7962036,8.718277,3.581482,2017-06-03 16:14:32.828000,1496517272828,-0.0056610107,-0.001739502,-0.0014190674,-141.066190454,-13.292503,15.30056,-2.3694992,10.9598791547,67.7982139069
5272,-1.7036896,8.776657,3.585678,2017-06-03 16:14:32.879000,1496517272879,0.0071258545,-0.008132935,-0.004623413,-141.066190454,-13.37738,15.562439,-2.3694992,10.9598791547,67.7982139069
5273,-1.7469177,8.779587,3.5480804,2017-06-03 16:14:32.931000,1496517272931,0.0060577393,-0.013458252,-0.0035552979,-141.066190454,-13.122559,15.30056,-2.4562836,10.9598791547,67.7982139069
5274,-1.6889954,8.762222,3.5578766,2017-06-03 16:14:32.983000,1496517272983,0.0018005371,-0.0113220215,0.00390625,-141.019413686,-12.952423,15.562439,-2.9766083,10.820808462,67.8464143897
5275,-1.7228546,8.767685,3.543167,2017-06-03 16:14:33.035000,1496517273035,0.012451172,-0.005996704,-0.0035552979,-140.759962105,-12.612915,15.475273,-3.150177,10.4583629009,68.1000022185
5276,-1.7520294,8.781601,3.5523071,2017-06-03 16:14:33.086000,1496517273086,0.0071258545,-0.012390137,0.0017700195,-140.759962105,-12.867737,15.737152,-3.4103394,10.4583629009,68.1000022185
5277,-1.7420044,8.791626,3.5623322,2017-06-03 16:14:33.138000,1496517273138,0.0039367676,-0.004928589,-0.00036621094,-140.74497037,-13.037682,15.56263,-3.670311,10.4471783421,68.1072527682
5278,-1.7228546,8.780487,3.533081,2017-06-03 16:14:33.190000,1496517273190,-0.0013885498,0.0046539307,0.0017700195,-140.439684553,-13.037491,15.56263,-3.7569046,10.194396761,68.3177862916
5279,-1.7228546,8.810791,3.528778,2017-06-03 16:14:33.241000,1496517273241,-3.3569336E-4,0.0046539307,0.011352539,-140.439382695,-12.952614,15.213394,-3.4101486,10.194454868,68.31761387
5280,-1.7420044,8.807343,3.5274658,2017-06-03 16:14:33.293000,1496517273293,-0.0045928955,0.005722046,0.0028381348,-140.439382695,-12.527847,15.125847,-3.2367706,10.194454868,68.31761387
5281,-1.7619019,8.772476,3.5991516,2017-06-03 16:14:33.345000,1496517273345,-0.008850098,3.9672852E-4,0.00390625,-140.487399232,-12.528038,15.03849,-2.4564743,10.2512135436,68.2249197217
5282,-1.8527374,8.7703705,3.5985413,2017-06-03 16:14:33.397000,1496517273397,-0.0077819824,-0.017715454,-0.0014190674,-140.672076128,-12.78286,15.213013,-2.6298523,10.706879757,67.869438197
5283,-1.7611542,8.790421,3.5449677,2017-06-03 16:14:33.449000,1496517273449,-0.0077819824,-0.014511108,0.0049591064,-140.672114042,-12.697983,14.951134,-2.8032303,10.7063782841,67.8698592504
5284,-1.8017273,8.73642,3.5769958,2017-06-03 16:14:33.500000,1496517273500,7.324219E-4,-0.010253906,0.0007019043,-140.671423098,-12.952805,15.125656,-3.3233643,10.7062094776,67.8700120076
5285,-1.7420044,8.791016,3.581482,2017-06-03 16:14:33.552000,1496517273552,-0.0045928955,-0.004928589,-0.0024871826,-140.47947851,-12.867928,15.300179,-3.3233643,10.4257924867,67.9970033046
5286,-1.782547,8.755539,3.5984192,2017-06-03 16:14:33.604000,1496517273604,-0.0013885498,0.0046539307,0.007095337,-140.47947851,-13.292503,15.213013,-3.3233643,10.4257924867,67.9970033046
5287,-1.7563324,8.748489,3.5623322,2017-06-03 16:14:33.656000,1496517273656,-3.3569336E-4,0.009979248,-0.00036621094,-140.47947851,-13.292503,15.03849,-3.3233643,10.4257924867,67.9970033046
5288,-1.7611542,8.772476,3.5738525,2017-06-03 16:14:33.709000,1496517273709,-0.0056610107,0.014251709,0.0049591064,-140.48033752,-13.207436,15.125847,-3.4101486,10.4336493496,67.9847749707
5289,-1.766098,8.739105,3.5716095,2017-06-03 16:14:33.761000,1496517273761,0.0060577393,0.009979248,0.00390625,-140.496353627,-13.207626,15.824127,-2.9764175,10.5083581834,67.8873457511
5290,-1.7611542,8.753326,3.5961456,2017-06-03 16:14:33.813000,1496517273813,-0.0045928955,3.9672852E-4,-0.00036621094,-140.495171788,-12.952805,16.173172,-2.7162552,10.5076533831,67.8864329386
5291,-1.780304,8.791626,3.543167,2017-06-03 16:14:33.865000,1496517273865,0.0018005371,-0.004928589,-0.004623413,-140.494839439,-13.122749,16.086006,-2.8028488,10.5079113806,67.8871471096
5292,-1.7611542,8.776062,3.5701141,2017-06-03 16:14:33.916000,1496517273916,-3.3569336E-4,-0.0070648193,0.0017700195,-140.400707082,-12.952805,16.086006,-2.8028488,10.455082025,67.9520381047
5293,-1.7752228,8.805695,3.5392914,2017-06-03 16:14:33.967000,1496517273967,-0.0077819824,-0.0027923584,0.0007019043,-140.398858768,-12.867928,15.562248,-3.063202,10.455384059,67.9546644141
5294,-1.7689362,8.761093,3.589264,2017-06-03 16:14:34.019000,1496517274019,-0.006729126,-0.004928589,0.0017700195,-140.399481278,-13.122559,15.649605,-2.8030396,10.4560950524,67.953531349
5295,-1.7451477,8.734177,3.552597,2017-06-03 16:14:34.071000,1496517274071,-0.0056610107,0.006790161,0.010299683,-140.3962191,-12.867928,15.475082,-2.9766083,10.4551421997,67.9515840506
5296,-1.7797089,8.772476,3.600937,2017-06-03 16:14:34.123000,1496517274123,0.0039367676,-6.713867E-4,0.00390625,-140.491883923,-13.122559,15.475082,-2.8030396,10.5643024949,67.7972345759
5297,-1.7833099,8.756317,3.584488,2017-06-03 16:14:34.174000,1496517274174,-0.002456665,3.9672852E-4,-0.0024871826,-140.492593074,-13.207436,15.475082,-2.8030396,10.5650700469,67.7965207219
